Year,Start Date,End Date,Days Active,Storm Name,Storm Category,Max Wind (mph),Min Pressure mbar,Damage $millions,Deaths,Caribbean,Florida,US Gulf Coast,US East Coast,Canada,Mexico,Central America,Africa
1990,10/6/1990,10/14/1990,9,Lili,1,75,987,0,0,1,0,0,1,1,0,0,0
1990,10/16/1990,10/21/1990,6,Nana,1,85,989,0,0,1,0,0,0,0,0,0,0
1989,6/24/1989,6/27/1989,4,Chantal,1,80,984,100,13,0,0,1,0,0,1,0,0
1989,7/31/1989,8/9/1989,10,Dean,2,105,968,8.9,0,1,0,0,1,1,0,0,0
1989,8/18/1989,8/27/1989,10,Erin,2,105,968,0,0,0,0,0,0,0,0,0,1
1989,8/25/1989,8/26/1989,2,Felix,1,85,979,0,0,0,0,0,0,0,0,0,0
1989,9/4/1989,9/13/1989,10,Gabrielle,4,145,937,0,9,1,0,0,1,1,0,0,0
1989,9/8/1989,9/19/1989,12,Hugo,5,160,918,10000,88,1,0,0,1,1,0,0,0
1989,10/12/1989,10/16/1989,5,Jerry,1,85,983,70,3,0,0,1,1,0,0,0,0
1988,9/7/1988,9/11/1988,5,Florence,1,80,983,2.9,1,0,0,1,0,0,0,0,0
1988,9/8/1988,9/19/1988,12,Gilbert,5,185,888,5000,318,0,0,0,0,0,1,1,0
1988,9/19/1988,9/30/1988,12,Helene,4,145,938,0,0,0,0,0,0,0,0,0,0
1988,10/11/1988,11/2/1988,23,Joan,4,145,932,2000,216,1,0,0,0,0,0,1,0
1987,8/10/1987,8/23/1987,14,Arlene,1,75,987,0.008,0,1,0,0,0,0,0,0,0
1987,9/20/1987,9/27/1987,8,Emily,3,125,958,80.3,3,1,0,0,0,0,0,0,0
1987,10/9/1987,10/13/1987,5,Floyd,1,75,993,0.5,1,1,1,0,0,0,0,1,0
1986,8/10/1986,8/23/1986,14,Arlene,1,75,987,0.008,0,1,0,0,0,0,0,0,0
1986,9/20/1986,9/27/1986,8,Emily,3,125,958,80.3,3,1,0,0,0,0,0,0,0
1986,10/9/1986,10/13/1986,5,Floyd,1,75,993,0.5,1,1,1,0,0,0,0,1,0
1985,7/21/1985,7/26/1985,6,Bob,1,75,1002,20,5,0,1,0,1,0,0,0,0
1985,8/9/1985,8/16/1985,8,Claudette,1,85,980,0,0,1,0,0,0,0,0,0,1
1985,8/12/1985,8/18/1985,7,Danny,1,90,987,100,5,0,0,1,0,0,0,0,0
1985,8/28/1985,9/4/1985,8,Elena,3,125,953,1300,9,1,0,1,0,0,0,0,0
1985,9/16/1985,9/27/1985,12,Gloria,4,145,919,900,14,0,0,0,1,0,0,0,0
1985,10/26/1985,11/1/1985,7,Juan,1,85,971,1500,12,0,0,1,1,0,0,0,0
1985,11/15/1985,11/23/1985,9,Kate,3,120,954,700,15,1,1,0,0,0,0,0,0
1984,9/8/1984,9/16/1984,9,Diana,4,135,949,3,65,0,0,0,0,0,0,0,0
1984,9/23/1984,10/2/1984,10,Hortense,1,75,993,0,0,0,0,0,0,0,0,0,0
1984,10/7/1984,10/21/1984,15,Josephine,2,105,965,0,0,0,0,0,0,0,0,0,0
1984,11/5/1984,11/13/1984,9,Klaus,1,90,971,0,0,0,0,0,0,0,0,0,0
1984,12/12/1984,12/24/1984,13,Lili,1,80,980,0,0,0,0,0,0,0,0,0,0
1983,8/15/1983,8/21/1983,7,Alicia,3,115,963,1700,21,0,0,1,0,0,0,0,0
1983,8/24/1983,8/29/1983,6,Barry,1,80,986,0,0,0,0,1,0,0,1,0,0
1983,9/10/1983,9/15/1983,6,Chantal,1,75,992,0,0,0,0,0,0,0,0,0,0
1982,6/2/1982,6/6/1982,5,Alberto,1,85,985,23,0,1,0,0,0,0,0,0,0
1982,9/13/1982,9/20/1982,8,Debby,4,135,950,0,2,0,0,0,0,0,0,0,0
1981,8/7/1981,8/21/1981,15,Dennis,1,80,995,15,0,1,1,0,0,0,0,0,0
1981,8/31/1981,9/11/1981,12,Emily,1,90,966,0,0,0,0,0,0,0,0,0,0
1981,9/3/1981,9/12/1981,10,Floyd,3,115,975,0,0,0,0,0,0,0,0,0,0
1981,9/7/1981,9/15/1981,9,Gert,2,105,988,0,0,1,0,0,0,0,0,0,0
1981,9/11/1981,9/19/1981,9,Harvey,4,130,946,0,0,0,0,0,0,0,0,0,0
1981,9/21/1981,10/2/1981,12,Irene,3,120,959,0,0,0,0,0,0,0,0,0,0
1981,11/3/1981,11/7/1981,5,Katrina,1,85,980,0,2,1,0,0,0,0,0,0,0
1980,8/1/1980,8/11/1980,11,Allen,5,190,899,1500,290,1,1,1,0,0,0,0,0
1980,8/14/1980,8/19/1980,6,Bonnie,2,100,975,0,0,0,0,0,0,0,0,0,0
1980,8/20/1980,8/25/1980,6,Charley,1,80,989,0,7,0,0,0,1,0,0,0,0
1980,9/1/1980,9/8/1980,8,Georges,1,80,993,0,0,0,0,0,0,1,0,0,0
1980,9/4/1980,9/10/1980,7,Earl,1,75,985,0,0,0,0,0,0,0,0,0,0
1980,9/6/1980,9/20/1980,15,Frances,3,115,958,0,0,0,0,0,0,0,0,0,1
1980,10/4/1980,10/11/1980,8,Ivan,2,105,970,0,0,0,0,0,0,0,0,0,0
1980,11/8/1980,11/16/1980,9,Jeanne,2,100,986,0,0,0,1,1,1,0,0,0,0
1980,11/25/1980,11/28/1980,4,Karl,1,85,985,0,0,0,0,0,0,0,0,0,0
1979,7/9/1979,7/16/1979,8,Bob,1,75,986,20,1,0,0,1,0,0,0,0,0
1979,8/25/1979,9/6/1979,13,David,5,175,924,1540,2068,1,1,0,1,0,0,0,0
1979,8/29/1979,9/14/1979,17,Frederic,4,135,943,2300,12,1,0,1,0,0,0,0,0
1979,9/4/1979,9/15/1979,12,Gloria,2,100,975,0,0,0,0,0,0,0,0,0,0
1979,9/15/1979,9/24/1979,10,Henri,1,85,983,0,0,0,1,0,0,0,1,0,0
1978,8/7/1978,8/12/1978,6,Cora,1,90,980,0,1,1,0,0,1,0,0,0,0
1978,8/30/1978,9/5/1978,7,Ella,4,140,956,0,0,0,0,0,1,1,0,0,0
1978,9/4/1978,9/15/1978,12,Flossie,2,100,976,0,0,0,0,0,0,0,0,0,0
1978,9/13/1978,9/20/1978,8,Greta,4,135,947,25,5,1,0,0,0,0,1,1,0
1978,10/28/1978,11/1/1978,5,Kendra,1,80,990,6,1,1,0,0,1,0,0,0,0
1977,8/29/1977,9/3/1977,6,Anita,5,175,926,10,0,0,0,0,0,0,1,0,0
1977,9/5/1977,9/12/1977,8,Clara,1,75,993,0,0,0,0,0,1,0,0,0,0
1977,9/26/1977,9/30/1977,5,Dorothy,1,85,980,0,0,0,0,0,0,0,0,0,0
1977,10/13/1977,10/16/1977,4,Evelyn,1,80,994,0,0,0,0,0,0,0,0,0,0
1976,8/6/1976,8/10/1976,5,Belle,3,120,957,101,12,0,0,0,1,1,0,0,0
1976,8/18/1976,8/24/1976,7,Candice,1,90,964,0,0,0,0,0,0,0,0,0,0
1976,8/20/1976,9/4/1976,16,Emmy,2,105,974,0,68,1,0,0,0,0,0,0,1
