id,decade,year,month,date,co2raw,co2adj,days
389,1990s,1990,Jul,1990.542,354.67,354.06,30
390,1990s,1990,Aug,1990.625,352.67,354.32,22
391,1990s,1990,Sep,1990.708,351.05,354.32,27
392,1990s,1990,Oct,1990.792,351.36,354.59,28
393,1990s,1990,Nov,1990.875,352.81,354.88,24
394,1990s,1990,Dec,1990.958,354.21,355.06,28
395,1990s,1991,Jan,1991.042,354.87,354.82,28
396,1990s,1991,Feb,1991.125,355.67,354.96,27
397,1990s,1991,Mar,1991.208,357,355.5,30
398,1990s,1991,Apr,1991.292,358.4,355.77,30
399,1990s,1991,May,1991.375,359,355.84,29
400,1990s,1991,Jun,1991.458,357.99,355.64,29
401,1990s,1991,Jul,1991.542,355.96,355.37,24
402,1990s,1991,Aug,1991.625,353.78,355.42,25
403,1990s,1991,Sep,1991.708,352.2,355.51,27
404,1990s,1991,Oct,1991.792,352.22,355.46,27
405,1990s,1991,Nov,1991.875,353.7,355.69,28
406,1990s,1991,Dec,1991.958,354.98,355.79,30
407,1990s,1992,Jan,1992.042,356.08,355.99,31
408,1990s,1992,Feb,1992.125,356.84,356.15,27
409,1990s,1992,Mar,1992.208,357.73,356.19,24
410,1990s,1992,Apr,1992.292,358.91,356.21,27
411,1990s,1992,May,1992.375,359.45,356.24,26
412,1990s,1992,Jun,1992.458,359.19,356.79,30
413,1990s,1992,Jul,1992.542,356.72,356.14,26
414,1990s,1992,Aug,1992.625,354.77,356.49,23
415,1990s,1992,Sep,1992.708,352.8,356.16,26
416,1990s,1992,Oct,1992.792,353.21,356.49,29
417,1990s,1992,Nov,1992.875,354.15,356.2,29
418,1990s,1992,Dec,1992.958,355.39,356.24,31
419,1990s,1993,Jan,1993.042,356.76,356.7,28
420,1990s,1993,Feb,1993.125,357.17,356.31,28
421,1990s,1993,Mar,1993.208,358.26,356.6,30
422,1990s,1993,Apr,1993.292,359.17,356.5,25
423,1990s,1993,May,1993.375,360.07,356.89,30
424,1990s,1993,Jun,1993.458,359.41,356.98,28
425,1990s,1993,Jul,1993.542,357.36,356.78,25
426,1990s,1993,Aug,1993.625,355.29,357,27
427,1990s,1993,Sep,1993.708,353.96,357.33,23
428,1990s,1993,Oct,1993.792,354.03,357.38,28
429,1990s,1993,Nov,1993.875,355.27,357.4,29
430,1990s,1993,Dec,1993.958,356.7,357.59,30
431,1990s,1994,Jan,1994.042,358.05,357.93,27
432,1990s,1994,Feb,1994.125,358.8,357.97,25
433,1990s,1994,Mar,1994.208,359.67,358.03,29
434,1990s,1994,Apr,1994.292,361.13,358.39,28
435,1990s,1994,May,1994.375,361.48,358.25,30
436,1990s,1994,Jun,1994.458,360.6,358.2,27
437,1990s,1994,Jul,1994.542,359.2,358.61,31
438,1990s,1994,Aug,1994.625,357.23,358.94,24
439,1990s,1994,Sep,1994.708,355.42,358.85,24
440,1990s,1994,Oct,1994.792,355.89,359.28,28
441,1990s,1994,Nov,1994.875,357.41,359.56,28
442,1990s,1994,Dec,1994.958,358.74,359.61,28
443,1990s,1995,Jan,1995.042,359.73,359.61,30
444,1990s,1995,Feb,1995.125,360.61,359.84,28
445,1990s,1995,Mar,1995.208,361.6,360.02,29
446,1990s,1995,Apr,1995.292,363.05,360.38,29
447,1990s,1995,May,1995.375,363.62,360.46,29
448,1990s,1995,Jun,1995.458,363.03,360.68,27
449,1990s,1995,Jul,1995.542,361.55,360.88,28
450,1990s,1995,Aug,1995.625,358.94,360.54,25
451,1990s,1995,Sep,1995.708,357.93,361.31,24
452,1990s,1995,Oct,1995.792,357.8,361.15,29
453,1990s,1995,Nov,1995.875,359.22,361.35,27
454,1990s,1995,Dec,1995.958,360.42,361.32,30
455,1990s,1996,Jan,1996.042,361.83,361.61,29
456,1990s,1996,Feb,1996.125,362.94,362.07,27
457,1990s,1996,Mar,1996.208,363.91,362.27,27
458,1990s,1996,Apr,1996.292,364.28,361.59,29
459,1990s,1996,May,1996.375,364.93,361.88,30
460,1990s,1996,Jun,1996.458,364.7,362.41,30
461,1990s,1996,Jul,1996.542,363.31,362.6,31
462,1990s,1996,Aug,1996.625,361.15,362.78,28
463,1990s,1996,Sep,1996.708,359.41,362.82,25
464,1990s,1996,Oct,1996.792,359.34,362.69,29
465,1990s,1996,Nov,1996.875,360.62,362.76,29
466,1990s,1996,Dec,1996.958,361.96,362.82,29
467,1990s,1997,Jan,1997.042,362.81,362.62,31
468,1990s,1997,Feb,1997.125,363.87,363.07,27
469,1990s,1997,Mar,1997.208,364.25,362.66,31
470,1990s,1997,Apr,1997.292,366.02,363.37,21
471,1990s,1997,May,1997.375,366.47,363.54,29
472,1990s,1997,Jun,1997.458,365.36,363.17,27
473,1990s,1997,Jul,1997.542,364.1,363.39,24
