NAME,TEAM,POS,SALARY
Tommy La Stella,LAA,2B,1350000
Heath Hembree,BOS,RP,1312500
Blaine Hardy,DET,RP,1300000
Scott Oberg,COL,RP,1300000
Brandon Drury,TOR,3B,1300000
Ehire Adrianza,MIN,SS,1300000
Hunter Strickland,SEA,RP,1300000
Jeremy Hellickson,WSH,RP,1300000
Daniel Norris,DET,SP,1275000
Chaz Roe,TB,RP,1275000
Alex Claudio,MIL,RP,1275000
Dominic Leone,STL,RP,1260000
Tony Sipp,WSH,RP,1250000
Nick Hundley,OAK,C,1250000
Matt Joyce,ATL,OF,1250000
Lucas Duda,KC,1B,1250000
Josh Tomlin,ATL,RP,1250000
Greg Bird,NYY,1B,1200000
Erik Kratz,SF,C,1200000
Whit Merrifield,KC,2B,1187500
Brandon Lowe,TB,2B,1166666
Travis Jankowski,SD,OF,1165000
Brandon Workman,BOS,RP,1150000
Melky Cabrera,PIT,LF,1150000
Kevin Plawecki,CLE,C,1137500
Jose Martinez,STL,LF,1125000
Adam Conley,MIA,RP,1125000
Adam Morgan,PHI,RP,1100000
Josh Phegley,OAK,C,1075000
Nick Tropeano,LAA,SP,1075000
Neil Ramirez,CLE,RP,1000000
Brad Miller,CLE,2B,1000000
Mark Reynolds,COL,1B,1000000
Chris Herrmann,OAK,C,1000000
Jeanmar Gomez,TEX,RP,1000000
Peter Bourjos,LAA,OF,1000000
Hanley Ramirez,CLE,DH,1000000
Tony Wolters,COL,C,960000
Curt Casali,CIN,C,950000
Matt Andriese,ARI,RP,920000
Blake Swihart,BOS,C,910000
Roenis Elias,SEA,RP,910000
Greg Garcia,SD,2B,910000
John Ryan Murphy,ARI,C,900000
Joe Biagini,TOR,RP,900000
Trevor May,MIN,RP,900000
Marco Gonzales,SEA,SP,900000
Xavier Cedeno,CHC,RP,900000
Jesus Sucre,BAL,C,850000
Ji-Man Choi,TB,1B,850000
Nate Karns,BAL,RP,800000
Jesse Hahn,KC,SP,800000
Brian Flynn,KC,RP,800000
Guillermo Heredia,TB,OF,782000
Tony Barnette,CHC,RP,750000
Alex Wilson,MIL,RP,750000
Andrew Benintendi,BOS,LF,717500
Yimi Garcia,LAD,RP,710000
Gordon Beckham,DET,2B,700000
J.B. Shuck,PIT,OF,700000
Josh Hader,MIL,RP,687600
Aaron Judge,NYY,RF,684300
Willson Contreras,CHC,C,684000
Niko Goodrum,DET,2B,670500
Gary Sanchez,NYY,C,669800
Shohei Ohtani,LAA,SP,650000
Richard Rodriguez,PIT,RP,650000
Scott Barlow,KC,SP,650000
Terrance Gore,KC,OF,650000
Alex Bregman,HOU,3B,640500
Jesus Aguilar,MIL,1B,637500
Scott Schebler,CIN,CF,625000
Jose Berrios,MIN,SP,620000
Miguel Andujar,NYY,3B,617600
Albert Almora Jr.,CHC,OF,615500
Rafael Devers,BOS,3B,614500
Zac Rosscup,SEA,RP,610000
Zack Godley,ARI,SP,609400
Edwin Diaz,NYM,RP,607425
Joey Gallo,TEX,LF,605500
