gender,ideal,height,armspan,forearm,hand,leg,foot,semester
male,76,72,72,18,7,24,12,S16
male,75,72,75,19.5,7.5,21,10.5,S16
male,74,72,70,18,8,21,10.5,S17
male,77,72,72.75,19,8.25,19.75,11,S17
male,74,72,74.25,18,9,20,11.5,S17
male,77,72,77.5,19.25,8.25,21.5,12,S17
male,74,72,67,17,7,18,10,Sum13
male,75,72,67,17,7,17,10,Sum13
male,72,72,71.5,17,8,18,10.5,Sum13
male,72,72,72,18,7.5,18,11,Sum13
male,80,72,74,18,8,22,13,Sum13
male,69,72,77,18.5,7.5,22.5,11,Sum16
male,74,72.25,75,19.25,8.5,21.5,12,Sum15
male,73,72.5,74.5,18,8,20,11,F15
male,74,72.5,75,19,8.3,22,11,F15
male,82,72.5,76.5,20.5,8.75,17.25,10,F15
female,67,72.5,70.5,19,7.5,19,10,S13
male,75,72.5,73,17.75,7.5,22.5,11.5,S17
male,75,72.5,75.75,19,7.5,21,10.75,S18
male,76,72.5,70,18,8.3,20.5,9,Sum15
male,74,72.5,72,20,8.5,21,10.5,Sum15
male,74,72.5,73,19.25,8.25,20.5,11.5,Sum15
male,73,72.75,74,18,8,21,11,Sum15
male,73,73,69,21,9,20,12,F13
male,77,73,70,24,7,27,15,F13
male,75,73,72,18.5,7.75,14.5,11.75,F13
male,75,73,73.5,19,8,19.5,10.75,F13
male,72,73,72.5,18.75,7.5,20,10.5,F15
male,75,73,72,20,7,18,8,S13
male,76,73,73,20,8,20,12,S13
male,77,73,73,18.5,7.5,18,11,S13
male,75,73,73.5,19,8,18,10.5,S13
male,73,73,75,18,7.75,20,10,S13
male,76,73,76,18.5,8,18.5,13,S13
male,70,73,72,20.5,8,18.5,,S14
male,76,73,75,21,7.25,18,13,S14
male,74,73,77,19.5,8,19,11.5,S14
male,75,73,73.5,20,7.75,24.5,11,S16
male,76,73,76,18.5,8,23,12,S16
male,75,73,77,19,9,21,12,S16
male,74,73,73,18,8,20,11,S17
male,78,73,71.5,18.25,7.75,20,10.5,S18
male,75,73,76,19.5,8.5,21,12,Sum14
male,74,73.5,70.5,19,8,21.5,12,F15
male,80,73.5,72.5,18,8,21,11,F15
male,76,73.5,68.75,19,8,18,11,S14
male,80,73.5,73.5,19.5,8,21.5,10.75,Sum15
female,72,73.5,77,18,8,21.5,11,Sum16
male,72,74,76,20.5,8.25,22,12,F13
male,77,74,76,18.5,8.25,22,12.5,F13
male,77,74,76,19,8.5,22,11,F13
male,77,74,77,20,9,19,14,F13
male,74,74,71,18.5,8,21.5,11.5,F15
male,76,74,79,17.75,8.25,22.5,12,F15
male,74,74,79.5,19.5,8.5,23,12,F15
male,78,74,70,17,8,20,11,S13
male,76,74,73,19,8,20,11.5,S13
male,76,74,75,19.5,8.5,18,11,S13
male,75,74,76,19,8,24.5,12.5,S13
male,78,74,77,19,9,20,12,S13
male,74,74,73,22,8,18,11,S14
male,76,74,73,21.25,8.75,18.2,12.8,S14
male,75,74,73.5,20,8.25,18.5,11,S14
male,76,74,68,19,8,22,11,S17
female,68,74,68,20,7.5,18,9.7,Sum15
male,72,74,72,19,8.5,20,10,Sum15
male,78,74.25,78,21.5,8,17.5,13,S14
male,75,74.25,74.25,17.5,8.75,22,11.5,S17
male,74,74.5,74.5,18.5,8.25,22,11,F15
male,78,74.5,72.5,16,7,21.5,12,Sum13
male,76,74.75,73.5,20.5,8,18.75,11.25,S14
male,77,74.75,75,22,7.5,18,13,S14
male,75,74.75,76,19,8.5,19,,S14
male,76,75,80,19.75,8.75,22,11.5,F13
other,77,75,76,19,8.25,21,10.5,F15
male,78,75,,19,7.5,18,10,S13
male,75,75,73,19,7.5,22,11.5,Sum13
male,,75,75,19,8.5,23,13,Sum13
male,77,75,71,18,8.5,25,12,Sum14
male,75,75,74,20,8,22,10.5,Sum14
male,75,75,70,19,7.5,20.5,10,Sum15
male,77,75,78.5,18.75,9,21,12,Sum15
male,75.5,75.5,73.5,19,7.75,19,13,S13
male,75.5,75.5,76,18.5,8,22,12,S13
male,80,75.5,77,18.5,8,23,11.5,S16
male,78,75.5,73.75,19.25,8.25,21.5,11.5,S17
male,77,75.5,75,18,7.5,20,11,Sum16
male,76,75.75,74.25,18.25,8.25,20.75,11,F15
male,76,76,76.5,19,7.75,21,11,S13
male,76,76,72,21,8,18,12.5,S14
male,76,76,79,24.5,9,19,14,S14
male,72,76,79.25,20.5,8.5,21,12,S14
male,78,76,76,19,8.5,23,12.5,S16
male,76,76,78,20,8,24,12,S16
male,75,76,75,18.75,8,21,11.5,S17
male,76,76,77.5,18,7.5,22,10.5,S17
male,76,76,80,20,9,20,12,S17
male,77,76.5,76.5,23,8.5,21,12.5,S14
male,79,76.5,75.5,19.5,8.25,22.5,11.5,S17
male,71,76.5,78,20,8.5,22,12,S17
male,77,76.5,78,20,8.5,20,11,Sum13
male,78,77,79,20.5,9,21,11,S13
male,75,78,81,20,8.75,23,12,F15
male,76,78,76.5,20,8.5,19,12,S14
female,,,50,9,4,19,9,S18
